transitive	salim	Table-base
مَشَّن	4	ل
تَماشَنَ	5	م
اِمْتَشَنَ	5	م
أَمْشَى	4	م
اِسْتَمْشَى	6	ل
مَشَى	3	ل
مَشَّى	4	ل/م
ماشَى	4	م
أَمْشَى	4	ل/م
تَمَشَّى	5	ل
تَماشَى	5	ل
اِمْتَشَى	5	ل
مَصَحَ	3	ل
مَصَّحَ	4	م
أَمْصَحَ	4	م
مَصَخَ	3	م
اِمَّصَخَ	5	ل
اِمْتَصَخَ	5	ل/م
مَصَدَ	3	م
مَصَرَ	3	ل/م
مَصَّرَ	4	م
أَمْصَرَ	4	ل
تَمَصَّرَ	5	ل/م
اِمْتَصَرَ	5	م
مَصَّ	3	م/ل
أمَصَّ	4	م
تَمَصَّصَ	5	م
اِمْتَصَّ	5	م
مَصَعَ	3	ل/م
مَصَّعَ	4	م
ماصَعَ	4	م
أَمْصَعَ	4	ل/م
تَماصَعَ	5	ل
اِنْمَصَعَ	5	ل
مَصَلَ	3	ل/م
أَمْصَلَ	4	ل/م
مَضَحَ	3	ل/م
مَضَرَ	3	ل
مَضَّرَ	4	م
تَمَضَّرَ	5	ل
مَضَّ	3	م
مَضَّ	3	ل
مضَّضَ	4	ل
ماضَّ	4	م
أَمَضَّ	4	م
تَماضَّ	5	ل
مَضَغَ	3	م
مَضَّغَ	4	م
ماضَغَ	4	م
أَمْضَغَ	4	ل/م
مَضَى	3	ل/م
مَضَّى	4	م
أمْضَى	4	م
تَمَضَّى	5	ل
مَطَحَ	3	م
تَمَطَّحَ	5	ل
اِمْتَطَحَ	5	ل
مَطَخَ	3	ل/م
مَطَرَ	3	ل/م
أَمْطَرَ	4	ل/م
تَمَطَّر	5	ل/م
تَماطَرَ	5	ل
اِسْتَمْطَرَ	6	ل/م
مَطَّ	3	م/ل
تَمَطَّطَ	5	ل
مَطَعَ	3	ل/م
تَمَطَّقَ	5	ل/م
مَطَلَ	3	م
ماطَلَ	4	م
اِمْتَطَلَ	5	ل/م
مَطا	3	ل
أَمْطَى	4	م
تَمَطَّى	5	ل
اِمْتَطَى	5	م
مَظَّ	3	م
ماظَّ	4	م
أَمَظَّ	4	م
تَماظَّ	5	ل
مَظَعَ	3	م
مَظَّعَ	4	م
تَمَظَّعَ	5	ل/م
مَعَجَ	3	ل/م
تَمَعَّجَ	5	ل
مَعَدَ	3	ل/م
اِمْتَعَدَ	5	م
مَعِرَ	3	ل
مَعَّرَ	4	ل/م
أَمْعَرَ	4	ل/م
تَمَعَّرَ	5	ل
مَعَزَ	3	م
مَعِزَ	3	ل
أَمْعَزَ	4	ل
اِسْتَمْعَزَ	6	ل
مَعَسَ	3	م/ل
تَمَعَّسَ	5	ل
مَعِصَ	3	ل
مَعِضَ	3	ل
مَعَّضَ	4	م
أَمْعَضَ	4	م
اِمْتَعَضَ	5	ل
مَعَطَ	3	ل/م
مَعِطَ	3	ل
تَمَعَّطَ	5	ل
اِمَّعَطَ	5	ل
اِمْتَعَطَ	5	ل/م
مَعَّ	3	ل
مَعَقَ	3	ل/م
مَعُقَ	3	ل
أَمْعَقَ	4	م
تَمَعَّقَ	5	ل
مَعَكَ	3	م
مَعُكَ	3	ل
مَعَّكَ	4	م
ماعَكَ	4	م
تَمَعَّكَ	5	ل
مَعَلَ	3	ل/م
أَمْعَلَ	4	م
اِمْتَعَلَ	5	ل
مَعَنَ	3	ل/م
مَعِنَ	3	ل
أَمْعَنَ	4	ل/م
تَمَعَّنَ	5	ل
مَعا	3	ل
أَمْعَى	4	ل
تَمَعَّى	5	ل
مَغَثَ	3	م
ماغَثَ	4	م
مَغَدَ	3	ل/م
أَمْغَدَ	4	ل/م
مَغَرَ	3	ل/م
أَمْغَرَ	4	ل/م
مَغَسَ	3	م
اِمَّغَسَ	5	ل
مَغِصَ	3	ل
تَمَغَّصَ	5	ل/م
مَغَطَ	3	م
تَمَّغَطَ	5	ل
اِمَّغَطَ	5	ل
اِمْتَغَطَ	5	ل/م
مَغَلَ	3	ل
مَغِلَ	3	ل
أَمْغَلَ	4	ل/م
مَغا	3	ل
مَغَى	3	ل
تَمَغَّى	5	ل
مَقَتَ	3	م
مَقُتَ	3	ل
مَقَّتَ	4	م
ماقَتَ	4	م
تَمَقَّتَ	5	ل
تَماقَتَ	5	ل
مَقَرَ	3	م
مَقِرَ	3	ل
أَمْقَرَ	4	ل/م
مَقَسَ	3	ل/م
مَقِسَ	3	ل
مَقَّسَ	4	م
ماقَّسَ	5	م
تَمَقَّسَ	5	ل
تَماقَسَ	5	ل
مَقَطَ	3	ل/م
مَقَّطَ	4	ل/م
تَمَقَّطَ	5	ل
اِمْتَقَطَ	5	م
مَقَعَ	3	ل/م
اِمْتَقَعَ	5	م
مَقَّ	3	م
مَقَّ	3	ل
مَقَّقَ	4	ل/م
تَمَقَّقَ	5	ل/م
اِمْتَقَّ	5	م
مَقَلَ	3	م/ل
ماقَلَ	4	م
تَماقَلَ	5	ل
اِمْتَقَلَ	5	ل
مَقِهَ	3	ل
مَقا	3	م
مَكَثَ	3	ل
مَكَّثَ	4	م
أَمْكَثَ	4	م
تَمَكَّثَ	5	ل
مَكَدَ	3	ل
مَكَرَ	3	م/ل
مَكِرَ	3	ل
مَكَّرَ	4	ل
ماكَرَ	4	م
تَماكَرَ	5	ل
اِمْتَكَرَ	5	ل/م
مَكَسَ	3	ل/م
ماكَسَ	4	م
تَماكَسَ	5	ل
مَكَّ	3	م
مَكَّكَ	4	ل
تَمَكَّكَ	5	م/ل
اِمْتَكَّ	5	م
مَكُنَ	3	ل
مَكِنَ	3	ل
مَكَّنَ	4	ل/م
أَمْكَنَ	4	م
تَمَكَّنَ	5	ل/م
اِسْتَمْكَنَ	6	ل
مَكا	3	ل
مَكِيَ	3	ل
تَمَكَّى	5	ل
مَلَأَ	3	ل/م
مَلُؤَ	3	ل
مَلِئَ	3	ل
مَلَّأَ	4	م/ل
مالَأَ	4	م
أَمْلَأَ	4	م/ل
تَمَلَّأَ	5	ل
تَمالَأَ	5	ل
اِمْتَلَأَ	5	ل
اِسْتَمْلَأَ	6	م
مَلَثَ	3	ل/م
مالَثَ	4	م
مَلَجَ	3	م
مَلِجَ	3	ل
أَمْلَجَ	4	م
اِمْتَلَجَ	5	م
اِمْلاجَّ	6	ل
مَلَحَ	3	ل/م
مَلُحَ	3	ل
مَلِحَ	3	ل
مَلَّحَ	4	ل/م
مالَحَ	4	م
أَمْلَحَ	4	ل/م
تَمَلَّحَ	5	ل
اِمْتَلَحَ	5	ل
اِمْلَحَّ	5	ل
اِسْتَمْلَحَ	6	م
اِمْلاحَّ	6	ل
مَلَخَ	3	ل/م
مَلُخَ	3	ل
مالَخَ	4	م
تَمَلَّخَ	5	ل/م
اِمْتَلَخَ	5	م
مَلَدَ	3	م
مَلِدَ	3	ل
مَلَّدَ	4	م
مَلَذَ	3	ل/م
مَلِذَ	3	ل
اِمْتَلَذَ	5	م
مَلَزَ	3	ل
مَلَّزَ	4	م
أَمْلَزَ	4	م
اِمْتَلَزَ	5	م
مَلَسَ	3	ل/م
مَلُسَ	3	ل
مَلِسَ	3	ل
مَلَّسَ	4	م
أَمْلَسَ	4	ل
تَمَلَّسَ	5	ل
اِنْمَلَسَ	5	ل
اِمَّلَسَ	5	ل
اِمْلاسَّ	6	ل
مَلَشَ	3	م
مَلَصَ	3	ل
مَلِصَ	3	ل
أَمْلَصَ	4	ل/م
تَمَلَّصَ	5	ل
اِنْمَلَصَ	5	ل
اِمَّلَصَ	5	ل
مَلَطَ	3	ل/م
مَلِطَ	3	ل
مَلَّطَ	4	ل/م
مالَطَ	4	م
أَمْلَطَ	4	ل/م
تَمَلَّطَ	5	ل
اِمْتَلَطَ	5	م
مَلَعَ	3	ل/م
أَمْلَعَ	4	ل
اِنْمَلَعَ	5	ل
اِمْتَلَعَ	5	ل/م
مَلَغَ	3	-
مالَغَ	4	م
تَمَلَّغَ	5	ل
تَمالَغَ	5	ل
مَلَقَ	3	ل/م
مَلِقَ	3	ل/م
مَلَّقَ	4	م
أَمْلَقَ	4	ل/م
تَمَلَّقَ	5	م/ل
اِنْمَلَقَ	5	ل
اِمَّلَقَ	5	ل
اِمْتَلَقَ	5	م
مَلَكَ	3	م
مَلَّكَ	4	م
أَمْلَكَ	4	م
تَمَلَّكَ	5	م
تَمالَكَ	5	ل
اِمْتَلَكَ	5	م
مَلَّ	3	ل/م
مَلَّ	3	م/ل
مَلَّلَ	4	م
أَمَلَّ	4	م/ل
تَمَلَّلَ	5	ل/م
اِمْتَلَّ	5	م
اِسْتَمَلَّ	6	م/ل
مَلا	3	ل
مَلَّى	4	م
أَمْلَى	4	م/ل
تَمَلَّى	5	م
اِسْتَمْلَى	6	م
مَنَأَ	3	م
مَنَحَ	3	م
مانَحَ	4	م/ل
أَمْنَحَ	4	ل
تَمَنَّحَ	5	م
اِمْتَنَحَ	5	ل
اِسْتَمْنَحَ	6	م
مَنَعَ	3	م
مَنُعَ	3	ل
مَنَّعَ	4	م
مانَعَ	4	م
تَمَنَّعَ	5	ل
اِمْتَنَعَ	5	ل
منَّ	3	ل/م
مَنَّنَ	4	م
مانَّ	4	م
أَمَنَّ	4	م
اِمْتَنَّ	5	ل/م
مَنا	3	م
مَنَى	3	م
مَنَّى	4	م
مانَى	4	م
أَمْنَى	4	ل/م
تَمَنَّى	5	م
اِمْتَنَى	5	ل
مَهَجَ	3	ل/م
اِمْتَهَجَ	5	-
مَهَدَ	3	م
مَهَّدَ	4	م
تَمَهَّدَ	5	ل
اِمْتَهَدَ	5	ل/م
اِسْتَمْهَدَ	6	م
مَهَرَ	3	م/ل
مَهَّرَ	4	ل
أَمْهَرَ	4	ل/م
تَمَّهَرَ	5	ل
مَهَزَ	3	م
مَهِقَ	3	ل
تَمَهَّقَ	5	م
مَهَكَ	3	م/ل
مَهِكَ	3	ل
مَهَّكَ	4	م
تَماهَكَ	5	ل
مَهَلَ	3	ل
مَهَّلَ	4	م
أَمْهَلَ	4	م
تَمَهَّلَ	5	ل
اِسْتَمْهَلَ	6	م
مَهَنَ	3	ل/م
مَهُنَ	3	ل
أَمْهَنَ	4	م
اِمْتَهَنَ	5	ل/م
مَهَّ	3	م
مَهُوَ	3	ل
أَمْهَى	4	م
اِسْتَمْهَى	6	ل/م
ماءَ	3	ل
ماتَ	3	ل
موَّتَ	4	ل/م
ماوَتَ	4	م
أَماتَ	4	ل/م
تَماوَتَ	5	ل
اِسْتَماتَ	6	ل
ماثَ	3	م
اِنْماثَ	5	ل
ماجَ	3	ل
تَمَوَّجَ	5	ل
مارَ	3	ل/م
أَمارَ	4	م
تَمَوَّرَ	5	ل
اِنْمارَ	5	ل
ماشَ	3	م
ماصَ	3	م
مَوَّصَ	4	م
ماقَ	3	ل
تَماوَقَ	5	ل
مالَ	3	ل/م
مَوَّلَ	4	م
تَمَّوَلَ	5	ل/م
مانَ	3	م
مَوَّنَ	4	م
تَمَوَّنَ	5	ل
ماهَ	3	ل
مَوَّهَ	4	ل/م
أَماهَ	4	ل/م
تَمَوَّه	5	ل
ماثَ	3	ل/م
مَيَّثَ	4	م
أَماثَ	4	م
تَمَيَّثَ	5	ل
ماحَ	3	ل/م
تَمَيَّحَ	5	ل
تَمايَحَ	5	ل
اِمْتاحَ	5	م
اِسْتَماحَ	6	م
مادَ	3	ل
أَمادَ	4	م
اِمْتادَ	5	م
مارَ	3	م
أَمارَ	4	م
اِمْتارَ	5	م
مازَ	3	م
مَيَّزَ	4	م
أَمازَ	4	م
تَمَيَّزَ	5	ل
تَمايَزَ	5	ل
اِنْمازَ	5	ل
اِمْتازَ	5	ل
اِسْتَمازَ	6	ل
ماسَ	3	ل
مَيَّسَ	4	م
تَمَيَّسَ	5	ل
ماشَ	3	م
ماطَ	3	ل/م
أَماطَ	4	م
تَمايَطَ	5	ل
ماعَ	3	ل
أَماعَ	4	م
اِنْماعَ	5	ل
مالَ	3	ل
مَيِلَ	3	ل
مَيَّلَ	4	م/ل
أمالَ	4	ل/م
تَمَيَّلَ	5	ل
تَمايَلَ	5	ل
اِسْتَمالَ	6	ل/م
مانَ	3	ل
تَمايَنَ	5	ل
ماهَ	3	ل/م
مَيَّهَ	4	م
نَأَتَ	3	ل/م
نَأَثَ	3	ل
أَنْأَثَ	4	م
نَأَجَ	3	ل
نَأَدَ	3	ل/م
نَأَرَ	3	ل
نَأَشَ	3	م
تَناءَشَ	5	ل/م
اِنْتَأَشَ	5	ل/م
نَأَفَ	3	ل
نَئِفَ	3	م/ل
نَأَلَ	3	ل
نَأَمَ	3	ل
نَأَى	3	ل/م
أَنْأَى	4	م
تَناءَى	5	ل
اِنْتَأَى	5	ل/م
نَبَأَ	3	ل
نَبَّأَ	4	م
نابَأَ	4	م
أَنْبَأَ	4	م
تَنَبَّأَ	5	ل
اِسْتَنْبَأَ	6	م
نَبَّ	3	ل
نَبَّبَ	4	ل
تَنَبَّبَ	5	ل
نَبَتَ	3	ل
نَبَّتَ	4	ل/م
أَنْبَتَ	4	ل/م
تَنَبَّتَ	5	ل
نَبَثَ	3	ل/م
تَنابَثَ	5	ل
اِنْتَبَثَ	5	م
نَبَجَ	3	ل
نَبَحَ	3	ل/م
أَنْبَحَ	4	م
اِسْتَنْبَجَ	6	م
نَبَخَ	3	ل
نَبَذَ	3	ل/م
نَبَّذَ	4	م
نابَذَ	4	م
تَنابَذَ	5	ل
اِنْتَبَذَ	5	ل/م
نَبَرَ	3	م/ل
اِنْتَبَرَ	5	ل
نَبَزَ	3	م
نَبَّزَ	4	م
تَنابَزَ	5	ل
نَبَسَ	3	ل
نَبَّسَ	4	ل
أَنْبَسَ	4	ل
نَبَشَ	3	م/ل
اِنْتَبَشَ	5	م
نَبَصَ	3	ل
نَبَضَ	3	ل
نَبَّضَ	4	م
أَنْبَضَ	4	م
نَبَطَ	3	ل/م
نَبَّطَ	4	م
أَنْبَطَ	4	ل/م
تَنَبَّطَ	5	ل/م
اِنْتَبَطَ	5	م
اِسْتَنْبَطَ	6	ل/م
نَبَعَ	3	ل
أَنْبَعَ	4	م
تَنَبَّعَ	5	ل
نَبَغَ	3	ل
نَبَّغَ	4	م
نَبَكَ	3	ل
أَنْبَكَ	4	ل
نَبَلَ	3	م/ل
نَبُلَ	3	ل
نَبَّلَ	4	م
نابَلَ	4	م
أَنْبَلَ	4	ل/م
تَنَبَّلَ	5	ل/م
تَنابَلَ	5	ل
اِنْتَبَلَ	5	م
اِسْتَنْبَلَ	6	م
نَبَهَ	3	ل
نَبُهَ	3	ل
نَبِهَ	3	ل
نَبَّهَ	4	ل/م
أَنْبَهَ	4	م
تَنَبَّهَ	5	ل
اِنْتَبَهَ	5	ل
اِسْتَنْبَهَ	6	ل
نَبا	3	ل
أَنْبَى	4	م
تَنَبَّى	5	ل
نَتَأَ	3	ل
نَتَّ	3	ل
نَتَجَ	3	م
نَتَّجَ	4	م
أَنْتَجَ	4	ل/م
تَناتَجَ	5	ل
اِسْتَنْتَجَ	6	م
نَتَحَ	3	ل/م
تَنَتَّحَ	5	ل
نَتَخَ	3	م
نَتَرَ	3	م
ناتَرَ	4	م
اِنْتَتَرَ	5	ل
نَتَشَ	3	م
أَنْتَشَ	4	ل
نَتَعَ	3	ل
أَنْتَعَ	4	ل
نَتَغَ	3	م
نَتَفَ	3	م
نَتَّفَ	4	م
أَنْتَفَ	4	ل
تَنَتَّفَ	5	ل/م
تَناتَفَ	5	ل/م
اِنْتَتَفَ	5	ل/م
نَتَقَ	3	ل/م
نَتَقَ	3	م
أَنْتَقَ	4	ل/م
اِنْتَتَقَ	5	ل
نَتَلَ	3	ل
نَتَلَ	3	م
تَناتَلَ	5	ل
اِنْتَتَلَ	5	ل
نَتَنَ	3	ل
نَتُنَ	3	ل
نَتَّنَ	4	ل/م
أَنْتَنَ	4	ل
نَتا	3	ل
أَنْتَى	4	م
تَنَتَّى	5	ل
نَثَّ	3	ل
نَثَّ	3	م
تَناثَّ	5	م
نَثَجَ	3	ل/م
اِسْتَنْثَجَ	6	ل
نَثَرَ	3	ل/م
نَثَّرَ	4	م
ناثَرَ	4	م
أَنْثَرَ	4	م
تَنَثَّرَ	5	ل
تَناثَرَ	5	ل
اِنْتَثَرَ	5	ل
اِسْتَنْثَرَ	6	ل
نَثَطَ	3	ل
أَنْثَعَ	4	ل
نَثَلَ	3	ل
نَثَلَ	3	م
أَنْثَلَ	4	م
تَناثَلَ	5	ل
اِنْتَثَلَ	5	م
اِسْتَنْثَلَ	6	م
نَثا	3	م
ناثَى	4	م
تَناثَى	5	م
نَجَأَ	3	م
نَجَبَ	3	م
نَجُبَ	3	ل
نَجَّبَ	4	م
أَنْجَبَ	4	ل/م
اِنْتَجَبَ	5	م
اِسْتَنْجَبَ	6	ل
نَجَثَ	3	ل/م
تَنَجَّثَ	5	ل/م
تَناجَثَ	5	ل
اِنْتَجَثَ	5	م
نَجَحَ	3	ل
أَنْجَحَ	4	ل/م
تَنَجَّحَ	5	م
تَناجَحَ	5	ل
اِسْتَنْجَحَ	6	م
نَجَخَ	3	ل/م
تَناجَخَ	5	ل
اِنْتَجَخَ	5	ل
نَجَدَ	3	ل/م
نَجُدَ	3	ل
نَجِدَ	3	ل
نَجَّدَ	4	م
ناجَدَ	4	م
أَنْجَدَ	4	ل/م
تَنَجَّدَ	5	ل
اِسْتَنْجَدَ	6	ل/م
نَجَذَ	3	م
نَجَّذَ	4	م
تَناجَذَ	5	ل
نَجَرَ	3	ل/م
نَجِرَ	3	ل
نَجَّرَ	4	م
أَنْجَرَ	4	ل/م
نَجَزَ	3	م/ل
نَجِزَ	3	ل
نَجَّزَ	4	م
ناجَزَ	4	م
أَنْجَزَ	4	م/ل
تَنَجَّزَ	5	م
تَناجَزَ	5	ل
اِسْتَنْجَزَ	6	م
نَجُسَ	3	ل
نَجِسَ	3	ل
نَجَّسَ	4	م
أَنْجَسَ	4	م
تَنَجَّسَ	5	ل
نَجَشَ	3	م/ل
تَناجَشَ	5	ل
اِسْتَنْجَشَ	6	م
نَجَعَ	3	ل/م
نَجِعَ	3	ل
نَجَّعَ	4	ل
أَنْجَعَ	4	ل
تَنَجَّعَ	5	ل/م
اِنْتَجَعَ	5	ل/م
اِسْتَنْجَعَ	6	ل/م
نَجَفَ	3	م
نَجَّفَ	4	م/ل
أَنْجَفَ	4	م
اِنْتَجَفَ	5	م
اِسْتَنْجَفَ	6	م
نَجَلَ	3	ل/م
نَجِلَ	3	ل
أَنْجَلَ	4	ل/م
تَناجَلَ	5	ل
اِنْتَجَلَ	5	ل
اِسْتَنْجَلَ	6	ل/م
نَجَمَ	3	ل/م
نَجَّمَ	4	ل/م
أَنْجَمَ	4	ل
تَنَجَّمَ	5	ل
اِنْتَجَمَ	5	ل
نَجَهَ	3	م
نَجا	3	ل/م
نَجَّى	4	م
ناجَى	4	م
أَنْجَى	4	ل/م
تَنَجَّى	5	ل
تَناجَى	5	ل
اِنْتَجَى	5	ل/م
اِسْتَنْجَى	6	ل/م
نَحَبَ	3	ل
نَحَّبَ	4	ل
ناحَبَ	4	م/ل
تَناحَبَ	5	ل
اِنْتَحَبَ	5	ل
نَحَتَ	3	ل/م
اِنْتَحَتَ	5	ل/م
نَحَّ	3	ل
نَحَرَ	3	م
نَحَّرَ	4	م
ناحَرَ	4	م
تَناحَرَ	5	ل
اِنْتَحَرَ	5	ل
نَحَزَ	3	م
نَحُزَ	3	ل
نَحِزَ	3	ل
نَحَسَ	3	م
نَحُسَ	3	ل
نَحِسَ	3	ل
نَحَّسَ	4	م
أَنْحَسَ	4	ل
تَنَحَّسَ	5	ل/م
تَناحَسَ	5	ل
اِنْتَحَسَ	5	ل
اِسْتَنْحَسَ	6	م
نَحَصَ	3	ل
نَحَضَ	3	ل/م
نَحُضَ	3	ل
ناحَضَ	4	م
اِنْتَحَضَ	5	م
نَحَطَ	3	ل/م
نَحُفَ	3	ل
نَحِفَ	3	ل
أَنْحَفَ	4	م
نَحَلَ	3	ل
نَحَلَ	3	م
نَحُلَ	3	ل
نَحِلَ	3	ل
نَحَّلَ	4	م
أَنْحَلَ	4	م
تَنَحَّلَ	5	م
اِنْتَحَلَ	5	م
نَحَمَ	3	ل
نَحا	3	ل/م
نَحَى	3	م
نَحَّى	4	ل/م
ناحَى	4	م
أَنْحَى	4	ل
تَنَحَّى	5	ل
اِنْتَحَى	5	ل/م
نَخَبَ	3	ل/م
نَخِبَ	3	ل
أَنْخَبَ	4	ل
اِنْتَخَبَ	5	م
نَخَجَ	3	ل/م
اِسْتَنْخَجَ	6	ل
نَخَّ	3	ل
نَخَّ	3	م
نَخَرَ	3	ل
نَخَرَ	3	م
نَخِرَ	3	ل
نَخَّرَ	4	م
نَخَزَ	3	م
نَخَسَ	3	م/ل
تَناخَسَ	5	ل
نَخَشَ	3	ل
نَخَشَ	3	م
نَخِشَ	3	ل
تَنَخَّشَ	5	ل
نَخَصَ	3	ل/م
نَخِصَ	3	ل
أَنْخَصَ	4	م
اِنْتَخَصَ	5	ل
نَخَطَ	3	ل
نَخَعَ	3	ل/م
نَخِعَ	3	ل
تَنَخَّعَ	5	ل
اِنْتَخَعَ	5	ل
نَخَفَ	3	ل
أَنْخَفَ	4	ل
نَخَلَ	3	م
نَخَّلَ	4	م
تَنَخَّلَ	5	م
اِنْتَخَلَ	5	م
نَخَمَ	3	ل
نَخِمَ	3	ل
نَخا	3	ل/م
أَنْخَى	4	ل
اِنْتَخَى	5	ل
اِسْتَنْخَى	6	ل
نَدَأَ	3	م
نَدَبَ	3	م
نَدُبَ	3	ل
نَدِبَ	3	ل
نَدَّبَ	4	م
أَنْدَبَ	4	م/ل
اِنْتَدَبَ	5	ل/م
نَدَحَ	3	م
تَنَدَّحَ	5	ل
اِنْتَدَحَ	5	ل
نَدَخَ	3	م
تَنَدَّخَ	5	ل
نَدَّ	3	ل
نَدَّدَ	4	ل/م
نادَّ	4	م
تَنادَّ	5	ل
نَدَرَ	3	ل
أَنْدَرَ	4	ل/م
تَنادَرَ	5	ل
اِسْتَنْدَرَ	6	م
نَدَسَ	3	م
نَدِسَ	3	ل
نادَسَ	4	م
تَنَدَّسَ	5	ل/م
نَدَشَ	3	ل/م
نَدَصَ	3	ل/م
نَدَغ	3	م
نَدَّغَ	4	م
نادَغَ	4	م
أَنْدَغَ	4	ل
اِنْتَدَغَ	5	ل
نَدَفَ	3	ل/م
نَدَّفَ	4	م
أَنْدَفَ	4	ل/م
نَدَلَ	3	م
نَدِلَ	3	ل
تَنَدَّلَ	5	ل
اِنْتَدَلَ	5	م
نَدِمَ	3	ل
نَدَّمَ	4	م
نادَمَ	4	م
أَنْدَمَ	4	م
تَنَدَّمَ	5	ل
تَنادَمَ	5	ل
اِنْتَدَمَ	5	ل
نَدَهَ	3	ل/م
اِنْتَدَهَ	5	ل
اِسْتَنْدَهَ	6	ل
نَدا	3	ل/م
نَدِيَ	3	ل/م
نَدَّى	4	م
نادَى	4	ل/م
أَنْدَى	4	ل/م
تَنَدَّى	5	ل
تَنادَى	5	ل
اِنْتَدَى	5	ل/م
نَذَرَ	3	م
نَذِرَ	3	ل
أَنْذَرَ	4	م
تَناذَرَ	5	ل
نَذَعَ	3	ل
نَذُلَ	3	ل
نَزَأَ	3	ل/م
نَزَحَ	3	ل/م
أَنْزَحَ	4	م
اِنْتَزَحَ	5	ل
نَزَرَ	3	م
نَزُرَ	3	ل
نَزَّرَ	4	م
أَنْزَرَ	4	م
تَنَزَّرَ	5	ل
نَزَّ	3	ل
نَزَّزَ	4	م
نازَّ	4	م
أَنَزَّ	4	ل
نزَعَ	3	ل/م
نَزِعَ	3	ل
نَزَّعَ	4	م
نازَعَ	4	ل/م
تَنَزَّعَ	5	ل/م
تَنازَعَ	5	ل/م
اِنْتَزَعَ	5	ل/م
اِسْتَنْزَعَ	6	م
نَزَغَ	3	ل/م
نَزَفَ	3	ل/م
أَنْزَفَ	4	ل/م
نَزَقَ	3	ل/م
نَزِقَ	3	ل
نَزَّقَ	4	م
نازَقَ	4	م
أَنْزَقَ	4	ل/م
تَنازَقَ	5	ل
نَزَكَ	3	م
نَزَلَ	3	ل
نَزِلَ	3	ل
نَزَّلَ	4	م
نازَلَ	4	م
أَنْزَلَ	4	م
تَنَزَّلَ	5	ل
تَنازَلَ	5	ل
اِسْتَنْزَلَ	6	م
نَزَهَ	3	م
نَزِهَ	3	ل
نَزَّهَ	4	م
تَنَزَّهَ	5	ل
اِسْتَنْزَهَ	6	ل
نَزا	3	ل
نَزَّى	4	م
أَنْزَى	4	م
تَنَزَّى	5	ل
اِنْتَزَى	5	ل
نَسَأَ	3	ل/م
نَسَّأَ	4	م
ناسَى	4	م
أَنْسَأَ	4	ل/م
اِنْتَسَأَ	5	ل
اِسْتَنْسَأَ	6	م
نَسَبَ	3	ل
نَسَبَ	3	م
ناسَبَ	4	م
أَنْسَبَ	4	ل
تَنَسَّبَ	5	ل
تَناسَبَ	5	ل
اِنْتَسَبَ	5	ل
اِسْتَنْسَبَ	6	م
نَسَجَ	3	ل/م
اِنْتَسَجَ	5	ل
نَسَحَ	3	م
نَسِحَ	3	ل
نَسَخَ	3	م
ناسَخَ	4	م
تَناسَخَ	5	ل
اِنْتَسَخَ	5	م
اِسْتَنْسَخَ	6	م
نَسَرَ	3	م
نَسَّرَ	4	م
تَنَسَّرَ	5	ل
اِنْتَسَرَ	5	ل
اِسْتَنْسَرَ	6	ل
نَسَّ	3	ل
نَسَّ	3	م
نَسَّسَ	4	م
أَنَسَّ	4	ل/م
تَنَسَّسَ	5	م
نَسَعَ	3	ل
نَسَّعَ	4	ل
أَنْسَعَ	4	ل
اِنْتَسَعَ	5	ل
نَسَغَ	3	ل/م
أَنْسَغَ	4	ل/م
اِنْتَسَغَ	5	ل
نَسَفَ	3	ل/م
أَنْسَفَ	4	ل
تَناسَفَ	5	م
اِنْتَسَفَ	5	م
نَسَقَ	3	م
نَسَّقَ	4	م
ناسَقَ	4	ل
أَنْسَقَ	4	ل
تَنَسَّقَ	5	ل
تَناسَقَ	5	ل
اِنْتَسَقَ	5	ل
نَسَكَ	3	ل/م
نَسُكَ	3	ل
تَنَسَّكَ	5	ل
اَنْتَسَكَ	5	ل
نَسَلَ	3	ل/م
أَنْسَلَ	4	ل/م
تَناسَلَ	5	ل
اِنْتَسَلَ	5	ل
نَسَمَ	3	ل
نَسِمَ	3	ل
نَسَّمَ	4	ل/م
ناسَمَ	4	م
تَنَسَّمَ	5	ل/م
نَسا	3	م
نَسَى	3	م
نَسِيَ	3	م
نَسَّى	4	م
ناسَى	4	م
أَنْسَى	4	م
تَناسَى	5	م
نَشَأَ	3	ل
نَشَّأَ	4	م
أَنْشَأَ	4	ل/م
تَنَشَّأَ	5	ل
اِسْتَنْشَأَ	6	م
نَشِبَ	3	ل/م
نَشَّبَ	4	م
ناشَبَ	4	م
أَنْشَبَ	4	ل/م
تَنَشَّبَ	5	ل
تَناشَبَ	5	ل
اِنْتَشَبَ	5	ل
نَشَجَ	3	ل
نَشَحَ	3	ل/م
اِنْتَشَحَ	5	ل/م
نَشَدَ	3	ل/م
ناشَدَ	4	م
أَنْشَدَ	4	م/ل
تَنَشَّدَ	5	م
تَناشَدَ	5	م
اِسْتَنْشَدَ	6	م
نَشَرَ	3	ل/م
نَشِرَ	3	ل
نَشَّرَ	4	م
ناشَرَ	4	م
أَنْشَرَ	4	م
تَنَشَّرَ	5	ل
تَناشَرَ	5	م
اِنْتَشَرَ	5	ل
اِسْتَنْشَرَ	6	م
نَشَزَ	3	ل
أَنْشَزَ	4	م
تَنَشَّزَ	5	ل
نَشَّ	3	ل
نَشَّ	3	م
نَشَصَ	3	ل/م
أَنْشَصَ	4	م
اِنْتَشَصَ	5	م
نَشَطَ	3	ل/م
نَشَطَ	3	م
نَشِطَ	3	ل
