#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
تَباخَسَ	ل	123
بَخَصَ	م	3
بَخِصَ	ل	4
بَخَعَ	ل/م	3
بَخِعَ	ل	4
بَخَقَ	ل/م	3
بَخِقَ	ل	4
أَبْخَقَ	م	102
اِنْبَخَقَ	ل	119
بَخُلَ	ل	7
بَخِلَ	ل	4
بَخَّلَ	م	112
أَبْخَلَ	م	102
تَبَخَّلَ	ل	126
اِسْتَبْخَلَ	م	129
بَخا	ل	17
أَبْخَى	م	104
بَدَأَ	ل/م	14
بَدَّأَ	م	112
أَبْدَأ	ل/م	102
تَبَدَّأَ	ل/م	126
اِبْتَدَأَ	م/ل	114
بَدَحَ	ل/م	3
تَبَدَّحَ	ل	126
تَبَادَحَ	ل	123
بَدَّ	م/ل	8
بَدَّ	ل	10
بَدَّدَ	م	112
بادَّ	ل/م	110
أَبَدَّ	م	103
تَبَدَّدَ	ل/م	126
تَبادَّ	ل	124
اِبْتَدَّ	م	115
اِسْتَبَدَّ	ل	130
بَدَرَ	ل/م	1
بادَرَ	ل/م	109
أَبْدَرَ	ل	102
تَبادَرَ	ل/م	123
اِبْتَدَرَ	ل/م	114
بَدَعَ	م	3
بَدُعَ	ل	7
بَدَّعَ	م	112
أَبْدَعَ	ل/م	102
تَبَدَّعَ	ل	126
اِبْتَدَعَ	ل/م	114
اِسْتَبْدَعَ	م	129
بَدِلَ	ل	4
بَدَّلَ	م	112
بادَلَ	م	109
أَبْدَلَ	م	102
تَبَدَّلَ	ل/م	126
تَبادَلَ	ل	123
بَدَنَ	ل	1
بَدُنَ	ل	7
بَدَّنَ	ل/م	112
بَدَهَ	م	3
بَدَّهَ	ل	112
بادَهَ	م	109
تَبادَهَ	م/ل	123
اِبْتَدَهَ	م	114
بَدا	ل	17
بادَى	ل/م	111
أَبْدَى	م/ل	104
تَبَدَّى	ل	127
تَبادَى	ل	125
اِبْتَدَى	ل	116
بَذَأَ	ل/م	14
بَذُؤَ	ل	16
بَذِئَ	ل	15
باذَأَ	م	109
أَبْذَأَ	ل	102
بَذَحَ	ل	1
بَذِحَ	ل	4
تَبَذَّحَ	ل	126
بَذَخَ	ل	1
بَذِخَ	ل	4
باذَخَ	م	109
تَبَذَّخَ	ل	126
بَذَّ	م	8
بَذَّ	ل	10
باذَّ	م	110
اِبْتَذَّ	م	115
بَذَرَ	م	1
بَذِرَ	ل	4
بَذَّرَ	م	112
تَبَذَّرَ	ل	126
اِسْتَبْذَرَ	ل	129
بَذَلَ	م	1
تَبَذَّلَ	ل	126
اِبْتَذَلَ	ل/م	114
اِسْتَبْذَلَ	م	129
بَذَمَ	ل	1
بَذَا	ل	17
بَذُوَ	ل	20
أَبْذَى	ل	104
بَرَأَ	م	14
بَرُؤَ	ل	16
بَرِئَ	ل	15
بَرَّأَ	م	112
بارَأَ	م	109
أَبْرَأَ	ل/م	102
تَبَرَّأَ	ل	126
تَبارَأَ	ل	123
اِسْتَبْرَأَ	ل/م	129
بَرَجَ	ل	1
بَرِجَ	ل	4
أَبْرَجَ	ل/م	102
تَبَرَّجَ	ل	126
بَرَحَ	ل	1
بَرِحَ	ل/م	4
بَرَّحَ	ل	112
بارَحَ	م	109
أَبْرَحَ	ل/م	102
تَبَرَّحَ	ل	126
بَرَدَ	ل/م	1
بَرُدَ	ل	7
بَرَّدَ	ل/م	112
أَبْرَدَ	ل/م	102
تَبَرَّدَ	ل	126
اِبْتَرَدَ	ل	114
