#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
أَمْرَقَ	ل/م	102
تَمَرَّقَ	ل	126
اِنْمَرَقَ	ل	119
اِمَّرَقَ	ل	119
اِمْتَرَقَ	ل/م	114
مَرَنَ	ل/م	1
مَرَّنَ	م	112
مارَنَ	ل	109
أَمْرَنَ	م	102
تَمَرَّنَ	ل	126
مَرِهَ	ل	4
مَرَى	ل/م	21
مارَى	م	111
أَمْرَى	ل/م	104
تَمَرَّى	ل	127
تَمارَى	ل	125
اِمْتَرَى	ل/م	116
مَزَجَ	م	1
مَزَّجَ	ل	112
مازَجَ	م	109
تَمازَجَ	ل	123
مَزَحَ	ل	3
مَزَّحَ	ل	112
مازَحَ	م	109
أَمْزَحَ	م	102
تَمازَحَ	ل	123
مَزَرَ	م	1
مَزُرَ	ل	7
مَزَّ	م	8
مَزَّ	ل	10
مَزَّزَ	م	112
تَمَزَّزَ	ل/م	126
مَزَعَ	ل/م	3
مَزَّعَ	م	112
تَمَزَّعَ	ل/م	126
مَزَقَ	ل/م	2
مَزَّقَ	م	112
مازَقَ	م	109
تَمَزَّقَ	ل	126
مَزَنَ	ل/م	1
مَزَّنَ	م	112
تَمَزَّنَ	ل	126
مَزا	ل	17
مَزَى	ل	21
مَزَّى	م	113
أَمَزَّى	م	104
تَمَزَّى	ل	127
تَمازَى	ل	125
مَسَأَ	ل/م	14
أَمْسَأَ	ل	102
مَسَحَ	ل/م	3
مَسِحَ	ل	4
مَسَّحَ	م	112
ماسَحَ	م	109
تَمَسَّحَ	ل	126
تَماسَحَ	ل	123
اِنْمَسَحَ	ل	119
اِمَّسَحَ	ل	119
اِمْتَسَحَ	م	114
مَسَخَ	م	3
مَسُخَ	ل	7
أَمْسَخَ	ل	102
اِمَّسَخَ	ل	119
اِمْتَسَخَ	م	114
مَسَدَ	ل/م	1
مَسَّ	م/ل	10
ماسَّ	م	110
أَمَسَّ	ل/م	103
تَماسَّ	ل	124
مَسَطَ	م	1
مَسَكَ	ل/م	2
مَسَّكَ	ل/م	112
أَمْسَكَ	ل/م	102
تَمَسَّكَ	ل	126
تَماسَكَ	ل	123
اِمْتَسَكَ	ل	114
اِسْتَمْسَكَ	ل	129
مَسَلَ	ل	1
اِمْتَسَلَ	م	114
مَسَنَ	ل/م	1
مَسا	ل/م	17
مَسَّى	ل/م	112
ماسَى	ل	111
أَمْسَى	ل/م	104
اِمْتَسَى	م	116
مَسَى	ل/م	21
تَمَسَّى	ل	127
تَماسَى	ل	125
اِمْتَسَى	ل	116
مَشَجَ	م/ل	1
أَمْشَجَ	ل	102
مَشَرَ	م	1
مَشِرَ	ل	4
مَشَّرَ	ل/م	112
أَمْشَرَ	ل	102
تَمَشَّرَ	ل	126
اِمْتَشَرَ	ل	114
مَشَّ	م	8
مَشِشَ	ل	4
مَشَّشَ	م	112
أَمَشَّ	ل	103
اِمْتَشَّ	ل/م	115
مَشَطَ	م/ل	1
مَشِطَ	ل	4
اِمْتَشَطَ	ل	114
مَشَظَ	ل	4
مَشَعَ	ل/م	3
تَمَشَّعَ	ل	126
اِمْتَشَعَ	ل/م	114
مَشَغَ	ل/م	3
مَشَّغَ	م	112
مَشَقَ	ل/م	1
مَشِقَ	ل	4
ماشَقَ	م	109
أَمْشَقَ	م	102
تَمَشَّقَ	ل	126
تَماشَقَ	م	123
اِمْتَشَقَ	م	114
مَشَلَ	ل/م	1
مَشَّلَ	ل	112
اِمْتَشَلَ	م	114
مَشَنَ	م	1
مَشَّن	ل	112
تَماشَنَ	م	123
اِمْتَشَنَ	م	114
أَمْشَى	م	104
اِسْتَمْشَى	ل	131
مَشَى	ل	21
مَشَّى	ل/م	113
ماشَى	م	111
أَمْشَى	ل/م	104
تَمَشَّى	ل	127
تَماشَى	ل	125
اِمْتَشَى	ل	116
مَصَحَ	ل	3
مَصَّحَ	م	112
أَمْصَحَ	م	102
مَصَخَ	م	3
اِمَّصَخَ	ل	119
اِمْتَصَخَ	ل/م	114
مَصَدَ	م	1
مَصَرَ	ل/م	1
مَصَّرَ	م	112
أَمْصَرَ	ل	102
تَمَصَّرَ	ل/م	126
اِمْتَصَرَ	م	114
مَصَّ	م/ل	8
أمَصَّ	م	103
تَمَصَّصَ	م	126
اِمْتَصَّ	م	115
مَصَعَ	ل/م	3
مَصَّعَ	م	112
ماصَعَ	م	109
أَمْصَعَ	ل/م	102
تَماصَعَ	ل	123
اِنْمَصَعَ	ل	119
مَصَلَ	ل/م	1
أَمْصَلَ	ل/م	102
مَضَحَ	ل/م	3
مَضَرَ	ل	1
مَضَّرَ	م	112
تَمَضَّرَ	ل	126
مَضَّ	م	8
مَضَّ	ل	10
مضَّضَ	ل	112
ماضَّ	م	110
أَمَضَّ	م	103
تَماضَّ	ل	124
مَضَغَ	م	1/3
مَضَّغَ	م	112
ماضَغَ	م	109
أَمْضَغَ	ل/م	102
مَضَى	ل/م	21
مَضَّى	م	113
أمْضَى	م	104
تَمَضَّى	ل	127
مَطَحَ	م	3
تَمَطَّحَ	ل	126
اِمْتَطَحَ	ل	114
مَطَخَ	ل/م	3
مَطَرَ	ل/م	1
أَمْطَرَ	ل/م	102
تَمَطَّر	ل/م	126
تَماطَرَ	ل	123
اِسْتَمْطَرَ	ل/م	129
مَطَّ	م/ل	8
تَمَطَّطَ	ل	126
مَطَعَ	ل/م	3
تَمَطَّقَ	ل/م	126
مَطَلَ	م	1
ماطَلَ	م	109
اِمْتَطَلَ	ل/م	114
مَطا	ل	17
أَمْطَى	م	104
تَمَطَّى	ل	127
اِمْتَطَى	م	116
مَظَّ	م	8
ماظَّ	م	110
أَمَظَّ	م	103
تَماظَّ	ل	124
مَظَعَ	م	3
مَظَّعَ	م	112
تَمَظَّعَ	ل/م	126
مَعَجَ	ل/م	3
تَمَعَّجَ	ل	126
مَعَدَ	ل/م	3
اِمْتَعَدَ	م	114
مَعِرَ	ل	4
مَعَّرَ	ل/م	112
أَمْعَرَ	ل/م	102
تَمَعَّرَ	ل	126
مَعَزَ	م	3
مَعِزَ	ل	4
أَمْعَزَ	ل	102
اِسْتَمْعَزَ	ل	129
مَعَسَ	م/ل	3
تَمَعَّسَ	ل	126
مَعِصَ	ل	4
مَعِضَ	ل	4
مَعَّضَ	م	112
أَمْعَضَ	م	102
اِمْتَعَضَ	ل	114
مَعَطَ	ل/م	3
مَعِطَ	ل	4
تَمَعَّطَ	ل	126
اِمَّعَطَ	ل	119
اِمْتَعَطَ	ل/م	114
مَعَّ	ل	8
مَعَقَ	ل/م	3
مَعُقَ	ل	7
أَمْعَقَ	م	102
تَمَعَّقَ	ل	126
مَعَكَ	م	3
مَعُكَ	ل	7
مَعَّكَ	م	112
ماعَكَ	م	109
تَمَعَّكَ	ل	126
مَعَلَ	ل/م	3
أَمْعَلَ	م	102
اِمْتَعَلَ	ل	114
مَعَنَ	ل/م	3
مَعِنَ	ل	4
أَمْعَنَ	ل/م	102
تَمَعَّنَ	ل	126
مَعا	ل	17
أَمْعَى	ل	104
تَمَعَّى	ل	127
مَغَثَ	م	3
ماغَثَ	م	109
مَغَدَ	ل/م	3
أَمْغَدَ	ل/م	102
مَغَرَ	ل/م	3
أَمْغَرَ	ل/م	102
مَغَسَ	م	3
اِمَّغَسَ	ل	119
مَغِصَ	ل	4
تَمَغَّصَ	ل/م	126
مَغَطَ	م	3
تَمَّغَطَ	ل	126
اِمَّغَطَ	ل	119
اِمْتَغَطَ	ل/م	114
مَغَلَ	ل	3
مَغِلَ	ل	4
أَمْغَلَ	ل/م	102
مَغا	ل	17
مَغَى	ل	22
تَمَغَّى	ل	127
مَقَتَ	م	1
مَقُتَ	ل	7
مَقَّتَ	م	112
ماقَتَ	م	109
تَمَقَّتَ	ل	126
تَماقَتَ	ل	123
مَقَرَ	م	1
مَقِرَ	ل	4
أَمْقَرَ	ل/م	102
مَقَسَ	ل/م	1
مَقِسَ	ل	4
مَقَّسَ	م	112
ماقَّسَ	م	109
تَمَقَّسَ	ل	126
تَماقَسَ	ل	123
مَقَطَ	ل/م	1
مَقَّطَ	ل/م	112
تَمَقَّطَ	ل	126
اِمْتَقَطَ	م	114
مَقَعَ	ل/م	3
اِمْتَقَعَ	م	114
مَقَّ	م	8
مَقَّ	ل	10
مَقَّقَ	ل/م	112
تَمَقَّقَ	ل/م	126
اِمْتَقَّ	م	115
مَقَلَ	م/ل	1
ماقَلَ	م	109
تَماقَلَ	ل	123
اِمْتَقَلَ	ل	114
مَقِهَ	ل	4
مَقا	م	17
مَكَثَ	ل	1
مَكَّثَ	م	112
أَمْكَثَ	م	102
تَمَكَّثَ	ل	126
مَكَدَ	ل	1
مَكَرَ	م/ل	1
مَكِرَ	ل	4
مَكَّرَ	ل	112
ماكَرَ	م	109
تَماكَرَ	ل	123
اِمْتَكَرَ	ل/م	114
مَكَسَ	ل/م	2
ماكَسَ	م	109
تَماكَسَ	ل	123
مَكَّ	م	8
مَكَّكَ	ل	112
تَمَكَّكَ	م/ل	126
اِمْتَكَّ	م	115
مَكُنَ	ل	7
مَكِنَ	ل	4
مَكَّنَ	ل/م	112
أَمْكَنَ	م	102
تَمَكَّنَ	ل/م	126
اِسْتَمْكَنَ	ل	129
مَكا	ل	17
مَكِيَ	ل	19
تَمَكَّى	ل	127
مَلَأَ	ل/م	14
مَلُؤَ	ل	16
مَلِئَ	ل	15
مَلَّأَ	م/ل	112
مالَأَ	م	109
أَمْلَأَ	م/ل	102
تَمَلَّأَ	ل	126
تَمالَأَ	ل	123
اِمْتَلَأَ	ل	114
اِسْتَمْلَأَ	م	129
مَلَثَ	ل/م	1
مالَثَ	م	109
مَلَجَ	م	1
مَلِجَ	ل	4
أَمْلَجَ	م	102
اِمْتَلَجَ	م	114
اِمْلاجَّ	ل	135
مَلَحَ	ل/م	3
مَلُحَ	ل	7
مَلِحَ	ل	4
مَلَّحَ	ل/م	112
مالَحَ	م	109
أَمْلَحَ	ل/م	102
تَمَلَّحَ	ل	126
اِمْتَلَحَ	ل	114
اِمْلَحَّ	ل	128
اِسْتَمْلَحَ	م	129
اِمْلاحَّ	ل	135
مَلَخَ	ل/م	3
مَلُخَ	ل	7
مالَخَ	م	109
تَمَلَّخَ	ل/م	126
اِمْتَلَخَ	م	114
مَلَدَ	م	1
مَلِدَ	ل	4
مَلَّدَ	م	112
مَلَذَ	ل/م	1
مَلِذَ	ل	4
اِمْتَلَذَ	م	114
مَلَزَ	ل	1
مَلَّزَ	م	112
أَمْلَزَ	م	102
اِمْتَلَزَ	م	114
مَلَسَ	ل/م	1
مَلُسَ	ل	7
مَلِسَ	ل	4
مَلَّسَ	م	112
أَمْلَسَ	ل	102
تَمَلَّسَ	ل	126
اِنْمَلَسَ	ل	119
اِمَّلَسَ	ل	119
اِمْلاسَّ	ل	135
مَلَشَ	م	1
مَلَصَ	ل	1
مَلِصَ	ل	4
أَمْلَصَ	ل/م	102
تَمَلَّصَ	ل	126
اِنْمَلَصَ	ل	119
اِمَّلَصَ	ل	119
مَلَطَ	ل/م	1
مَلِطَ	ل	4
مَلَّطَ	ل/م	112
مالَطَ	م	109
أَمْلَطَ	ل/م	102
تَمَلَّطَ	ل	126
اِمْتَلَطَ	م	114
مَلَعَ	ل/م	3
أَمْلَعَ	ل	102
اِنْمَلَعَ	ل	119
اِمْتَلَعَ	ل/م	114
مَلَغَ	-	1
مالَغَ	م	109
تَمَلَّغَ	ل	126
تَمالَغَ	ل	123
مَلَقَ	ل/م	1
مَلِقَ	ل/م	4
مَلَّقَ	م	112
أَمْلَقَ	ل/م	102
تَمَلَّقَ	م/ل	126
اِنْمَلَقَ	ل	119
اِمَّلَقَ	ل	119
اِمْتَلَقَ	م	114
مَلَكَ	م	2
مَلَّكَ	م	112
أَمْلَكَ	م	102
تَمَلَّكَ	م	126
تَمالَكَ	ل	123
اِمْتَلَكَ	م	114
مَلَّ	ل/م	8
مَلَّ	م/ل	10
مَلَّلَ	م	112
أَمَلَّ	م/ل	103
تَمَلَّلَ	ل/م	126
اِمْتَلَّ	م	115
اِسْتَمَلَّ	م/ل	130
مَلا	ل	17
مَلَّى	م	113
أَمْلَى	م/ل	104
تَمَلَّى	م	127
اِسْتَمْلَى	م	131
مَنَأَ	م	14
مَنَحَ	م	3
مانَحَ	م/ل	109
أَمْنَحَ	ل	102
تَمَنَّحَ	م	126
اِمْتَنَحَ	ل	114
اِسْتَمْنَحَ	م	129
مَنَعَ	م	3
مَنُعَ	ل	7
مَنَّعَ	م	112
مانَعَ	م	109
تَمَنَّعَ	ل	126
اِمْتَنَعَ	ل	114
منَّ	ل/م	8
مَنَّنَ	م	112
مانَّ	م	110
أَمَنَّ	م	103
اِمْتَنَّ	ل/م	115
مَنا	م	17
مَنَى	م	21
مَنَّى	م	113
مانَى	م	111
أَمْنَى	ل/م	104
تَمَنَّى	م	127
اِمْتَنَى	ل	116
مَهَجَ	ل/م	3
اِمْتَهَجَ	-	114
مَهَدَ	م	3
مَهَّدَ	م	112
تَمَهَّدَ	ل	126
اِمْتَهَدَ	ل/م	114
اِسْتَمْهَدَ	م	129
مَهَرَ	م/ل	3
مَهَّرَ	ل	112
أَمْهَرَ	ل/م	102
تَمَّهَرَ	ل	126
مَهَزَ	م	3
مَهِقَ	ل	4
تَمَهَّقَ	م	126
مَهَكَ	م/ل	3
مَهِكَ	ل	4
مَهَّكَ	م	112
تَماهَكَ	ل	123
مَهَلَ	ل	3
مَهَّلَ	م	112
أَمْهَلَ	م	102
تَمَهَّلَ	ل	126
اِسْتَمْهَلَ	م	129
مَهَنَ	ل/م	1
مَهُنَ	ل	7
أَمْهَنَ	م	102
اِمْتَهَنَ	ل/م	114
مَهَّ	م	8
مَهُوَ	ل	20
أَمْهَى	م	104
اِسْتَمْهَى	ل/م	131
ماءَ	ل	38
ماتَ	ل	34
موَّتَ	ل/م	112
ماوَتَ	م	109
أَماتَ	ل/م	105
تَماوَتَ	ل	123
اِسْتَماتَ	ل	132
ماثَ	م	34
اِنْماثَ	ل	122
ماجَ	ل	34
تَمَوَّجَ	ل	126
مارَ	ل/م	34
أَمارَ	م	105
تَمَوَّرَ	ل	126
اِنْمارَ	ل	122
ماشَ	م	34
ماصَ	م	34
مَوَّصَ	م	112
ماقَ	ل	34
تَماوَقَ	ل	123
مالَ	ل/م	34
مَوَّلَ	م	112
تَمَّوَلَ	ل/م	126
مانَ	م	34
مَوَّنَ	م	112
تَمَوَّنَ	ل	126
ماهَ	ل	34
مَوَّهَ	ل/م	112
أَماهَ	ل/م	105
تَمَوَّه	ل	126
ماثَ	ل/م	45
مَيَّثَ	م	112
أَماثَ	م	105
تَمَيَّثَ	ل	126
ماحَ	ل/م	45
تَمَيَّحَ	ل	126
تَمايَحَ	ل	123
اِمْتاحَ	م	117
اِسْتَماحَ	م	132
مادَ	ل	45
أَمادَ	م	105
اِمْتادَ	م	117
مارَ	م	45
أَمارَ	م	105
اِمْتارَ	م	117
مازَ	م	45
مَيَّزَ	م	112
أَمازَ	م	105
تَمَيَّزَ	ل	126
تَمايَزَ	ل	123
اِنْمازَ	ل	122
اِمْتازَ	ل	117
اِسْتَمازَ	ل	132
ماسَ	ل	45
مَيَّسَ	م	112
تَمَيَّسَ	ل	126
ماشَ	م	45
ماطَ	ل/م	45
أَماطَ	م	105
تَمايَطَ	ل	123
ماعَ	ل	45
أَماعَ	م	105
اِنْماعَ	ل	122
مالَ	ل	45
مَيِلَ	ل	46
مَيَّلَ	م/ل	112
أمالَ	ل/م	105
تَمَيَّلَ	ل	126
تَمايَلَ	ل	123
اِسْتَمالَ	ل/م	132
مانَ	ل	45
تَمايَنَ	ل	123
ماهَ	ل/م	45
مَيَّهَ	م	112
نَأَتَ	ل/م	26
نَأَثَ	ل	26
أَنْأَثَ	م	102
نَأَجَ	ل	26
نَأَدَ	ل/م	26
نَأَرَ	ل	26
نَأَشَ	م	26
تَناءَشَ	ل/م	123
اِنْتَأَشَ	ل/م	114
نَأَفَ	ل	26
نَئِفَ	م/ل	27
نَأَلَ	ل	26
نَأَمَ	ل	26/25
نَأَى	ل/م	32
أَنْأَى	م	104
تَناءَى	ل	125
اِنْتَأَى	ل/م	116
نَبَأَ	ل	14
نَبَّأَ	م	112
نابَأَ	م	109
أَنْبَأَ	م	102
تَنَبَّأَ	ل	126
اِسْتَنْبَأَ	م	129
نَبَّ	ل	9
نَبَّبَ	ل	112
تَنَبَّبَ	ل	126
نَبَتَ	ل	1
نَبَّتَ	ل/م	112
أَنْبَتَ	ل/م	112
تَنَبَّتَ	ل	126
نَبَثَ	ل/م	1
تَنابَثَ	ل	123
اِنْتَبَثَ	م	114
نَبَجَ	ل	1/2
نَبَحَ	ل/م	3
أَنْبَحَ	م	102
اِسْتَنْبَجَ	م	129
نَبَخَ	ل	1
نَبَذَ	ل/م	2
نَبَّذَ	م	112
نابَذَ	م	109
تَنابَذَ	ل	123
اِنْتَبَذَ	ل/م	114
نَبَرَ	م/ل	2
اِنْتَبَرَ	ل	114
نَبَزَ	م	2
نَبَّزَ	م	112
تَنابَزَ	ل	123
نَبَسَ	ل	2
نَبَّسَ	ل	112
أَنْبَسَ	ل	102
نَبَشَ	م/ل	1
اِنْتَبَشَ	م	114
نَبَصَ	ل	2
نَبَضَ	ل	2
نَبَّضَ	م	112
أَنْبَضَ	م	102
نَبَطَ	ل/م	2
نَبَّطَ	م	112
أَنْبَطَ	ل/م	102
تَنَبَّطَ	ل/م	126
اِنْتَبَطَ	م	114
اِسْتَنْبَطَ	ل/م	129
نَبَعَ	ل	1
أَنْبَعَ	م	102
تَنَبَّعَ	ل	126
نَبَغَ	ل	1
نَبَّغَ	م	112
نَبَكَ	ل	1
أَنْبَكَ	ل	102
نَبَلَ	م/ل	1
نَبُلَ	ل	7
نَبَّلَ	م	112
نابَلَ	م	109
أَنْبَلَ	ل/م	102
تَنَبَّلَ	ل/م	126
تَنابَلَ	ل	123
اِنْتَبَلَ	م	114
اِسْتَنْبَلَ	م	129
نَبَهَ	ل	1
نَبُهَ	ل	7
نَبِهَ	ل	4
نَبَّهَ	ل/م	112
أَنْبَهَ	م	102
تَنَبَّهَ	ل	126
اِنْتَبَهَ	ل	114
اِسْتَنْبَهَ	ل	129
نَبا	ل	17
أَنْبَى	م	104
تَنَبَّى	ل	127
نَتَأَ	ل	14
نَتَّ	ل	9
نَتَجَ	م	2
نَتَّجَ	م	2
أَنْتَجَ	ل/م	102
تَناتَجَ	ل	123
اِسْتَنْتَجَ	م	129
نَتَحَ	ل/م	3
تَنَتَّحَ	ل	126
نَتَخَ	م	2
نَتَرَ	م	1
ناتَرَ	م	109
اِنْتَتَرَ	ل	114
نَتَشَ	م	2
أَنْتَشَ	ل	102
نَتَعَ	ل	1/2
أَنْتَعَ	ل	102
نَتَغَ	م	1/2
نَتَفَ	م	2
نَتَّفَ	م	112
أَنْتَفَ	ل	102
تَنَتَّفَ	ل/م	126
تَناتَفَ	ل/م	123
اِنْتَتَفَ	ل/م	114
نَتَقَ	ل/م	1
نَتَقَ	م	2
أَنْتَقَ	ل/م	102
اِنْتَتَقَ	ل	114
نَتَلَ	ل	2
نَتَلَ	م	1
تَناتَلَ	ل	123
اِنْتَتَلَ	ل	114
نَتَنَ	ل	2
نَتُنَ	ل	7
نَتَّنَ	ل/م	112
أَنْتَنَ	ل	102
نَتا	ل	17
أَنْتَى	م	104
تَنَتَّى	ل	127
نَثَّ	ل	9
نَثَّ	م	8
تَناثَّ	م	124
نَثَجَ	ل/م	2
اِسْتَنْثَجَ	ل	129
نَثَرَ	ل/م	1/2
نَثَّرَ	م	112
ناثَرَ	م	109
أَنْثَرَ	م	102
تَنَثَّرَ	ل	126
تَناثَرَ	ل	123
اِنْتَثَرَ	ل	114
اِسْتَنْثَرَ	ل	129
نَثَطَ	ل	1
أَنْثَعَ	ل	102
نَثَلَ	ل	1
نَثَلَ	م	2
أَنْثَلَ	م	102
تَناثَلَ	ل	123
اِنْتَثَلَ	م	114
اِسْتَنْثَلَ	م	129
نَثا	م	17
ناثَى	م	111
تَناثَى	م	125
نَجَأَ	م	13
نَجَبَ	م	1
نَجُبَ	ل	7
نَجَّبَ	م	112
أَنْجَبَ	ل/م	112
اِنْتَجَبَ	م	114
اِسْتَنْجَبَ	ل	129
نَجَثَ	ل/م	1
تَنَجَّثَ	ل/م	126
تَناجَثَ	ل	123
اِنْتَجَثَ	م	114
نَجَحَ	ل	3
أَنْجَحَ	ل/م	102
تَنَجَّحَ	م	126
تَناجَحَ	ل	123
اِسْتَنْجَحَ	م	129
نَجَخَ	ل/م	3
تَناجَخَ	ل	123
اِنْتَجَخَ	ل	114
نَجَدَ	ل/م	1
نَجُدَ	ل	7
نَجِدَ	ل	4
نَجَّدَ	م	112
ناجَدَ	م	109
أَنْجَدَ	ل/م	102
تَنَجَّدَ	ل	126
اِسْتَنْجَدَ	ل/م	129
نَجَذَ	م	1
نَجَّذَ	م	112
تَناجَذَ	ل	123
نَجَرَ	ل/م	1
نَجِرَ	ل	4
نَجَّرَ	م	112
أَنْجَرَ	ل/م	102
نَجَزَ	م/ل	1
نَجِزَ	ل	4
نَجَّزَ	م	112
ناجَزَ	م	109
أَنْجَزَ	م/ل	102
تَنَجَّزَ	م	126
تَناجَزَ	ل	123
اِسْتَنْجَزَ	م	129
نَجُسَ	ل	7
نَجِسَ	ل	4
نَجَّسَ	م	112
أَنْجَسَ	م	102
تَنَجَّسَ	ل	126
نَجَشَ	م/ل	1
تَناجَشَ	ل	123
اِسْتَنْجَشَ	م	129
نَجَعَ	ل/م	3
نَجِعَ	ل	4
نَجَّعَ	ل	112
أَنْجَعَ	ل	102
تَنَجَّعَ	ل/م	126
اِنْتَجَعَ	ل/م	114
اِسْتَنْجَعَ	ل/م	129
نَجَفَ	م	1
نَجَّفَ	م/ل	112
أَنْجَفَ	م	102
اِنْتَجَفَ	م	114
اِسْتَنْجَفَ	م	129
نَجَلَ	ل/م	1
نَجِلَ	ل	4
أَنْجَلَ	ل/م	102
تَناجَلَ	ل	123
اِنْتَجَلَ	ل	114
اِسْتَنْجَلَ	ل/م	129
نَجَمَ	ل/م	1
نَجَّمَ	ل/م	112
أَنْجَمَ	ل	102
تَنَجَّمَ	ل	126
اِنْتَجَمَ	ل	114
نَجَهَ	م	3
نَجا	ل/م	17
نَجَّى	م	113
ناجَى	م	111
أَنْجَى	ل/م	104
تَنَجَّى	ل	127
تَناجَى	ل	125
اِنْتَجَى	ل/م	116
اِسْتَنْجَى	ل/م	131
نَحَبَ	ل	1/2/3
نَحَّبَ	ل	112
ناحَبَ	م/ل	109
تَناحَبَ	ل	123
اِنْتَحَبَ	ل	114
نَحَتَ	ل/م	2
اِنْتَحَتَ	ل/م	114
نَحَّ	ل	9
نَحَرَ	م	3
نَحَّرَ	م	112
ناحَرَ	م	109
تَناحَرَ	ل	123
اِنْتَحَرَ	ل	114
نَحَزَ	م	3
نَحُزَ	ل	7
نَحِزَ	ل	4
نَحَسَ	م	3
نَحُسَ	ل	7
نَحِسَ	ل	4
نَحَّسَ	م	112
أَنْحَسَ	ل	102
تَنَحَّسَ	ل/م	126
تَناحَسَ	ل	123
اِنْتَحَسَ	ل	114
اِسْتَنْحَسَ	م	129
نَحَصَ	ل	3
نَحَضَ	ل/م	3
نَحُضَ	ل	7
ناحَضَ	م	109
اِنْتَحَضَ	م	114
نَحَطَ	ل/م	2
نَحُفَ	ل	7
نَحِفَ	ل	4
أَنْحَفَ	م	102
نَحَلَ	ل	1
نَحَلَ	م	3
نَحُلَ	ل	7
نَحِلَ	ل	4
نَحَّلَ	م	112
أَنْحَلَ	م	102
تَنَحَّلَ	م	126
اِنْتَحَلَ	م	114
نَحَمَ	ل	2
نَحا	ل/م	17
نَحَى	م	22
نَحَّى	ل/م	113
ناحَى	م	111
أَنْحَى	ل	104
تَنَحَّى	ل	127
اِنْتَحَى	ل/م	116
نَخَبَ	ل/م	1
نَخِبَ	ل	4
أَنْخَبَ	ل	102
اِنْتَخَبَ	م	114
نَخَجَ	ل/م	1/3
اِسْتَنْخَجَ	ل	129
نَخَّ	ل	9
نَخَّ	م	8
نَخَرَ	ل	2
نَخَرَ	م	3
نَخِرَ	ل	4
نَخَّرَ	م	112
نَخَزَ	م	3
نَخَسَ	م/ل	1
تَناخَسَ	ل	123
نَخَشَ	ل	3
نَخَشَ	م	1
نَخِشَ	ل	4
تَنَخَّشَ	ل	126
نَخَصَ	ل/م	1
نَخِصَ	ل	4
أَنْخَصَ	م	102
اِنْتَخَصَ	ل	114
نَخَطَ	ل	3
نَخَعَ	ل/م	3
نَخِعَ	ل	4
تَنَخَّعَ	ل	126
اِنْتَخَعَ	ل	114
نَخَفَ	ل	1
أَنْخَفَ	ل	102
نَخَلَ	م	1
نَخَّلَ	م	112
تَنَخَّلَ	م	126
اِنْتَخَلَ	م	114
نَخَمَ	ل	1
نَخِمَ	ل	4
نَخا	ل/م	17
أَنْخَى	ل	104
اِنْتَخَى	ل	116
اِسْتَنْخَى	ل	131
نَدَأَ	م	14
نَدَبَ	م	1
نَدُبَ	ل	7
نَدِبَ	ل	4
نَدَّبَ	م	112
أَنْدَبَ	م/ل	102
اِنْتَدَبَ	ل/م	114
نَدَحَ	م	3
تَنَدَّحَ	ل	126
اِنْتَدَحَ	ل	114
نَدَخَ	م	3
تَنَدَّخَ	ل	126
نَدَّ	ل	9
نَدَّدَ	ل/م	112
نادَّ	م	110
تَنادَّ	ل	124
نَدَرَ	ل	1
أَنْدَرَ	ل/م	102
تَنادَرَ	ل	123
اِسْتَنْدَرَ	م	129
نَدَسَ	م	1
نَدِسَ	ل	4
نادَسَ	م	109
تَنَدَّسَ	ل/م	126
نَدَشَ	ل/م	1
نَدَصَ	ل/م	1
نَدَغ	م	3
نَدَّغَ	م	112
نادَغَ	م	109
أَنْدَغَ	ل	102
اِنْتَدَغَ	ل	114
نَدَفَ	ل/م	2
نَدَّفَ	م	112
أَنْدَفَ	ل/م	102
نَدَلَ	م	1
نَدِلَ	ل	4
تَنَدَّلَ	ل	126
اِنْتَدَلَ	م	114
نَدِمَ	ل	4
نَدَّمَ	م	112
نادَمَ	م	109
أَنْدَمَ	م	102
تَنَدَّمَ	ل	126
تَنادَمَ	ل	123
اِنْتَدَمَ	ل	114
نَدَهَ	ل/م	3
اِنْتَدَهَ	ل	114
اِسْتَنْدَهَ	ل	129
نَدا	ل/م	17
نَدِيَ	ل/م	19
نَدَّى	م	113
نادَى	ل/م	111
أَنْدَى	ل/م	104
تَنَدَّى	ل	127
تَنادَى	ل	125
اِنْتَدَى	ل/م	116
نَذَرَ	م	1/2
نَذِرَ	ل	4
أَنْذَرَ	م	102
تَناذَرَ	ل	123
نَذَعَ	ل	3
نَذُلَ	ل	7
نَزَأَ	ل/م	14
نَزَحَ	ل/م	2/3
أَنْزَحَ	م	102
اِنْتَزَحَ	ل	114
نَزَرَ	م	1
نَزُرَ	ل	7
نَزَّرَ	م	112
أَنْزَرَ	م	102
تَنَزَّرَ	ل	126
نَزَّ	ل	9
نَزَّزَ	م	112
نازَّ	م	110
أَنَزَّ	ل	103
نزَعَ	ل/م	2
نَزِعَ	ل	4
نَزَّعَ	م	112
نازَعَ	ل/م	109
تَنَزَّعَ	ل/م	126
تَنازَعَ	ل/م	123
اِنْتَزَعَ	ل/م	114
اِسْتَنْزَعَ	م	129
نَزَغَ	ل/م	3/2
نَزَفَ	ل/م	2
أَنْزَفَ	ل/م	102
نَزَقَ	ل/م	2
نَزِقَ	ل	4
نَزَّقَ	م	112
نازَقَ	م	109
أَنْزَقَ	ل/م	102
تَنازَقَ	ل	123
نَزَكَ	م	1
نَزَلَ	ل	2
نَزِلَ	ل	4
