	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak	url
1885	تَجاحَفَ	م/ل	123	تجاحف	تجاحف	تجاحف	تجحف	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/تجاحف
1886	اِجْتَحَفَ	م	114	اجتحف	اجتحف	اجتحف	جتحف	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتحف
1887	جَحَلَ	م	3	جحل	جحل	جحل	جحل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحل
1888	جَحَّلَ	م	112	جحل	جحّل	جحل	جحل	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جحّل
1889	جَحَمَ	م	3	جحم	جحم	جحم	جحم	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحم
1890	جَحِمَ	ل	4	جحم	جحم	جحم	جحم	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحم
1891	جَحَّمَ	م	112	جحم	جحّم	جحم	جحم	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جحّم
1892	أَجْحَمَ	ل/م	102	أجحم	أجحم	ءجحم	جحم	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجحم
1893	تَجَحَّمَ	ل	126	تجحم	تجحّم	تجحم	تجحم	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجحّم
1894	تَجاحَمَ	ل	123	تجاحم	تجاحم	تجاحم	تجحم	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/تجاحم
1895	جَحَنَ	ل	3	جحن	جحن	جحن	جحن	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحن
1896	جَحِنَ	ل	4	جحن	جحن	جحن	جحن	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحن
1897	جَحَّنَ	ل	112	جحن	جحّن	جحن	جحن	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جحّن
1898	أَجْحَنَ	ل	102	أجحن	أجحن	ءجحن	جحن	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجحن
1899	جَحا	ل/م	17	جحا	جحا	جحا	جح	3		ناقص واوي	http://qutrub.arabeyes.org/verb/جحا
1900	اِجْتَحَى	م	116	اجتحى	اجتحى	اجتحى	جتح	5		ناقص	http://qutrub.arabeyes.org/verb/اجتحى
1901	جَخا	ل/م	17	جخا	جخا	جخا	جخ	3		ناقص واوي	http://qutrub.arabeyes.org/verb/جخا
1902	جَخَّى	ل	113	جخى	جخّى	جخى	جخ	4	مضعف	ناقص	http://qutrub.arabeyes.org/verb/جخّى
1903	تَجَخَّى	ل	127	تجخى	تجخّى	تجخى	تجخ	5	مضعف	ناقص	http://qutrub.arabeyes.org/verb/تجخّى
1904	جَخَّ	ل	8	جخ	جخّ	جخ	جخ	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جخّ
1905	جَدَبَ	ل/م	2	جدب	جدب	جدب	جدب	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدب
1906	جَدُبَ	ل	7	جدب	جدب	جدب	جدب	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدب
1907	جَدِبَ	ل	4	جدب	جدب	جدب	جدب	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدب
1908	جادَبَ	م	109	جادب	جادب	جادب	جدب	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/جادب
1909	أَجْدَبَ	ل/م	102	أجدب	أجدب	ءجدب	جدب	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجدب
1910	تَجَدَّبَ	م	126	تجدب	تجدّب	تجدب	تجدب	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجدّب
1911	اِجْتَدَثَ	ل	114	اجتدث	اجتدث	اجتدث	جتدث	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتدث
1912	جَدَحَ	م/ل	3	جدح	جدح	جدح	جدح	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدح
1913	جَدَّحَ	م	112	جدح	جدّح	جدح	جدح	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّح
1914	أَجْدَحَ	م	102	أجدح	أجدح	ءجدح	جدح	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجدح
1915	اِجْتَدَحَ	م	114	اجتدح	اجتدح	اجتدح	جتدح	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتدح
1916	جَدَّ	ل	9	جد	جدّ	جد	جد	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّ
1917	جَدَّ	م	8	جد	جدّ	جد	جد	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّ
1918	جَدَّ	ل	10	جد	جدّ	جد	جد	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّ
1919	جَدَّدَ	م	112	جدد	جدّد	جدد	جد	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّد
1920	جادَّ	م	110	جاد	جادّ	جاد	جد	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جادّ
1921	أَجَدَّ	ل/م	103	أجد	أجدّ	ءجد	جد	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجدّ
1922	تَجَدَّدَ	ل	126	تجدد	تجدّد	تجدد	تجد	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجدّد
1923	اِسْتَجَدَّ	ل/م	130	استجد	استجدّ	استجد	ستجد	6	مضعف	صحيح	http://qutrub.arabeyes.org/verb/استجدّ
1924	جَدَرَ	ل/م	1	جدر	جدر	جدر	جدر	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدر
1925	جَدُرَ	ل	7	جدر	جدر	جدر	جدر	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدر
1926	جَدِرَ	ل	4	جدر	جدر	جدر	جدر	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدر
1927	جَدَّرَ	ل/م	112	جدر	جدّر	جدر	جدر	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّر
1928	أَجْدَرَ	ل	102	أجدر	أجدر	ءجدر	جدر	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجدر
1929	اِجْتَدَرَ	م	114	اجتدر	اجتدر	اجتدر	جتدر	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتدر
1930	جَدَعَ	م	3	جدع	جدع	جدع	جدع	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدع
1931	جَدِعَ	ل	4	جدع	جدع	جدع	جدع	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدع
1932	جَدَّعَ	م	112	جدع	جدّع	جدع	جدع	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّع
1933	جادَعَ	م	109	جادع	جادع	جادع	جدع	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/جادع
1934	أَجْدَعَ	م	102	أجدع	أجدع	ءجدع	جدع	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجدع
1935	تَجادَعَ	ل	123	تجادع	تجادع	تجادع	تجدع	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/تجادع
1936	جَدَفَ	ل/م	2	جدف	جدف	جدف	جدف	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدف
1937	جَدَّفَ	ل	112	جدف	جدّف	جدف	جدف	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّف
1938	أَجْدَفَ	ل	102	أجدف	أجدف	ءجدف	جدف	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجدف
1939	جَدَلَ	ل	1	جدل	جدل	جدل	جدل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدل
1940	جَدَلَ	م	2	جدل	جدل	جدل	جدل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدل
1941	جَدِلَ	ل	4	جدل	جدل	جدل	جدل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جدل
1942	جَدَّلَ	م	112	جدل	جدّل	جدل	جدل	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جدّل
1943	جادَلَ	م	109	جادل	جادل	جادل	جدل	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/جادل
1944	أَجْدَلَ	ل	102	أجدل	أجدل	ءجدل	جدل	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجدل
1945	تَجَدَّلَ	ل	126	تجدل	تجدّل	تجدل	تجدل	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجدّل
1946	تَجادَلَ	ل	123	تجادل	تجادل	تجادل	تجدل	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/تجادل
1947	اِنْجَدَلَ	ل	119	انجدل	انجدل	انجدل	نجدل	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/انجدل
1948	اِجْتَدَلَ	ل	114	اجتدل	اجتدل	اجتدل	جتدل	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتدل
1949	جَدا	م/ل	17	جدا	جدا	جدا	جد	3		ناقص واوي	http://qutrub.arabeyes.org/verb/جدا
1950	جَدَى	م	21	جدى	جدى	جدى	جد	3		ناقص يائي	http://qutrub.arabeyes.org/verb/جدى
1951	جَدَّى	م	113	جدى	جدّى	جدى	جد	4	مضعف	ناقص	http://qutrub.arabeyes.org/verb/جدّى
1952	أَجْدَى	ل/م	104	أجدى	أجدى	ءجدى	جد	4	مهموز	ناقص	http://qutrub.arabeyes.org/verb/أجدى
1953	اِجْتَدَى	م	116	اجتدى	اجتدى	اجتدى	جتد	5		ناقص	http://qutrub.arabeyes.org/verb/اجتدى
1954	اِسْتَجْدَى	م	131	استجدى	استجدى	استجدى	ستجد	6		ناقص	http://qutrub.arabeyes.org/verb/استجدى
1955	جَذَبَ	ل/م	2	جذب	جذب	جذب	جذب	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جذب
1956	جاذَبَ	م	109	جاذب	جاذب	جاذب	جذب	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/جاذب
1957	تَجَذَّبَ	ل/م	126	تجذب	تجذّب	تجذب	تجذب	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجذّب
1958	تَجاذَبَ	م	123	تجاذب	تجاذب	تجاذب	تجذب	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/تجاذب
1959	اِنْجَذَبَ	ل	119	انجذب	انجذب	انجذب	نجذب	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/انجذب
1960	اِجْتَذَبَ	م	114	اجتذب	اجتذب	اجتذب	جتذب	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتذب
1961	جَذَّ	م	8	جذ	جذّ	جذ	جذ	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جذّ
